db_id	OMIM_id	ori_exp	drug_dis	test_train_valid
DB00264	D608622	original	DB00264D608622	train
DB00268	D102300	original	DB00268D102300	train
DB00268	D125320	original	DB00268D125320	valid
DB00268	D168100	original	DB00268D168100	train
DB00268	D168600	original	DB00268D168600	test
DB00270	D161900	original	DB00270D161900	train
DB00270	D179600	original	DB00270D179600	train
DB00270	D608622	original	DB00270D608622	train
DB00273	D147530	original	DB00273D147530	train
DB00273	D157300	original	DB00273D157300	train
DB00273	D264120	original	DB00273D264120	train
DB00273	D300125	original	DB00273D300125	train
DB00273	D308350	original	DB00273D308350	train
DB00273	D605021	original	DB00273D605021	train
DB00273	D607499	expanded	DB00273D607499	train
DB00275	D161900	original	DB00275D161900	train
DB00275	D608622	original	DB00275D608622	train
DB00277	D208550	original	DB00277D208550	train
DB00277	D210050	original	DB00277D210050	valid
DB00277	D600807	original	DB00277D600807	train
DB00278	D188050	original	DB00278D188050	train
DB00279	D138800	original	DB00279D138800	train
DB00279	D140300	original	DB00279D140300	train
DB00279	D255900	original	DB00279D255900	train
DB00279	D275000	original	DB00279D275000	train
DB00280	D115000	original	DB00280D115000	train
DB00281	D147530	original	DB00281D147530	train
DB00282	D102400	original	DB00282D102400	train
DB00282	D102500	original	DB00282D102500	test
DB00282	D114480	original	DB00282D114480	train
DB00282	D143880	original	DB00282D143880	valid
DB00282	D166300	original	DB00282D166300	valid
DB00282	D166710	original	DB00282D166710	train
DB00282	D167320	original	DB00282D167320	test
DB00282	D254500	original	DB00282D254500	train
DB00282	D276300	original	DB00282D276300	train
DB00284	D125850	original	DB00284D125850	train
DB00284	D125851	original	DB00284D125851	valid
DB00284	D125853	original	DB00284D125853	test
DB00284	D600496	original	DB00284D600496	test
DB00285	D131300	expanded	DB00285D131300	train
DB00285	D143465	original	DB00285D143465	train
DB00285	D147530	expanded	DB00285D147530	train
DB00285	D164230	expanded	DB00285D164230	train
DB00285	D167870	original	DB00285D167870	test
DB00285	D607499	original	DB00285D607499	valid
DB00286	D102500	original	DB00286D102500	train
DB00286	D114480	original	DB00286D114480	train
DB00286	D176807	original	DB00286D176807	test
DB00286	D192000	original	DB00286D192000	train
DB00286	D215470	original	DB00286D215470	train
DB00286	D311360	original	DB00286D311360	train
DB00286	D601518	original	DB00286D601518	train
DB00287	D137750	original	DB00287D137750	train
DB00287	D137760	original	DB00287D137760	train
DB00287	D161900	original	DB00287D161900	valid
DB00287	D601682	original	DB00287D601682	train
DB00289	D143465	original	DB00289D143465	train
DB00290	D109543	original	DB00290D109543	train
DB00290	D155600	original	DB00290D155600	train
DB00290	D155601	original	DB00290D155601	train
DB00290	D236000	original	DB00290D236000	train
DB00290	D247640	original	DB00290D247640	train
DB00290	D267730	original	DB00290D267730	test
DB00290	D273300	original	DB00290D273300	train
DB00295	D147530	original	DB00295D147530	train
DB00297	D147530	original	DB00297D147530	train
DB00302	D134430	original	DB00302D134430	train
DB00302	D134500	original	DB00302D134500	train
DB00302	D134510	original	DB00302D134510	train
DB00302	D134520	original	DB00302D134520	train
DB00302	D227300	original	DB00302D227300	train
DB00304	D131200	original	DB00304D131200	train
DB00304	D184700	original	DB00304D184700	train
DB00304	D192000	original	DB00304D192000	train
DB00305	D109800	original	DB00305D109800	train
DB00305	D137215	original	DB00305D137215	train
DB00307	D254400	original	DB00307D254400	train
DB00307	D276300	original	DB00307D276300	valid
DB00308	D607554	original	DB00308D607554	train
DB00308	D608583	original	DB00308D608583	train
DB00310	D161900	original	DB00310D161900	train
DB00310	D608622	original	DB00310D608622	train
DB00313	D104130	original	DB00313D104130	train
DB00313	D104300	original	DB00313D104300	train
DB00313	D125320	original	DB00313D125320	train
DB00313	D181500	expanded	DB00313D181500	train
DB00313	D217200	original	DB00313D217200	train
DB00313	D239350	original	DB00313D239350	train
DB00313	D605055	original	DB00313D605055	train
DB00315	D157300	original	DB00315D157300	train
DB00316	D140600	original	DB00316D140600	train
DB00316	D145590	original	DB00316D145590	train
DB00316	D147530	original	DB00316D147530	test
DB00316	D157300	original	DB00316D157300	train
DB00316	D608088	original	DB00316D608088	train
DB00318	D140600	expanded	DB00318D140600	train
DB00318	D145590	original	DB00318D145590	test
DB00318	D608088	original	DB00318D608088	train
DB00320	D145590	original	DB00320D145590	train
DB00320	D157300	original	DB00320D157300	train
DB00320	D300125	original	DB00320D300125	train
DB00321	D144110	original	DB00321D144110	train
DB00321	D147530	original	DB00321D147530	train
DB00321	D252320	original	DB00321D252320	test
DB00323	D168100	original	DB00323D168100	train
DB00323	D168600	original	DB00323D168600	valid
DB00324	D278200	original	DB00324D278200	train
DB00325	D161900	original	DB00325D161900	train
DB00325	D608622	original	DB00325D608622	train
DB00327	D147530	original	DB00327D147530	train
DB00327	D608088	original	DB00327D608088	train
DB00328	D133600	original	DB00328D133600	train
DB00328	D133690	original	DB00328D133690	train
DB00328	D140600	original	DB00328D140600	train
DB00328	D147530	original	DB00328D147530	test
DB00328	D157300	original	DB00328D157300	valid
DB00328	D165720	original	DB00328D165720	valid
DB00328	D208230	original	DB00328D208230	train
DB00328	D246400	original	DB00328D246400	train
DB00328	D263800	original	DB00328D263800	train
DB00328	D602522	original	DB00328D602522	train
DB00328	D607459	original	DB00328D607459	train
DB00328	D607850	original	DB00328D607850	train
DB00331	D125850	original	DB00331D125850	train
DB00331	D125851	original	DB00331D125851	train
DB00331	D125853	original	DB00331D125853	train
DB00331	D176800	original	DB00331D176800	train
DB00331	D184700	original	DB00331D184700	train
DB00331	D600496	original	DB00331D600496	train
DB00332	D208550	original	DB00332D208550	train
DB00332	D210050	original	DB00332D210050	test
DB00332	D600807	original	DB00332D600807	train
DB00333	D147530	original	DB00333D147530	train
DB00334	D164230	expanded	DB00334D164230	train
DB00334	D181500	original	DB00334D181500	train
DB00334	D300494	original	DB00334D300494	train
DB00335	D110100	original	DB00335D110100	train
DB00335	D157700	original	DB00335D157700	train
DB00337	D233810	original	DB00337D233810	train
DB00337	D603165	original	DB00337D603165	train
DB00338	D109350	original	DB00338D109350	train
DB00338	D190310	original	DB00338D190310	train
DB00338	D304790	original	DB00338D304790	train
DB00338	D600263	original	DB00338D600263	train
DB00342	D147540	original	DB00342D147540	train
DB00343	D161900	original	DB00343D161900	train
DB00343	D179600	original	DB00343D179600	valid
DB00343	D607554	original	DB00343D607554	valid
DB00343	D608583	original	DB00343D608583	test
DB00343	D608622	original	DB00343D608622	train
DB00346	D147530	original	DB00346D147530	train
DB00346	D200170	original	DB00346D200170	test
DB00346	D600082	original	DB00346D600082	test
DB00350	D104130	expanded	DB00350D104130	train
DB00350	D161900	original	DB00350D161900	train
DB00350	D608622	original	DB00350D608622	train
DB00351	D109100	original	DB00351D109100	train
DB00351	D114480	original	DB00351D114480	valid
DB00351	D192000	original	DB00351D192000	train
DB00352	D601626	original	DB00352D601626	train
DB00353	D157300	original	DB00353D157300	train
DB00354	D145590	original	DB00354D145590	train
DB00356	D147530	original	DB00356D147530	train
DB00357	D268320	original	DB00357D268320	train
DB00361	D236000	original	DB00361D236000	train
DB00363	D181500	original	DB00363D181500	train
DB00364	D109350	original	DB00364D109350	train
DB00364	D161900	original	DB00364D161900	valid
DB00364	D190310	original	DB00364D190310	valid
DB00366	D145590	original	DB00366D145590	train
DB00366	D147540	expanded	DB00366D147540	train
DB00367	D131200	original	DB00367D131200	train
DB00367	D184700	original	DB00367D184700	valid
DB00367	D192000	original	DB00367D192000	test
DB00368	D146500	original	DB00368D146500	train
DB00371	D145590	original	DB00371D145590	train
DB00371	D200170	original	DB00371D200170	test
DB00371	D601042	original	DB00371D601042	valid
DB00373	D137750	original	DB00373D137750	train
DB00373	D137760	original	DB00373D137760	test
DB00373	D157300	original	DB00373D157300	train
DB00373	D161900	original	DB00373D161900	train
DB00373	D300125	original	DB00373D300125	train
DB00373	D601682	original	DB00373D601682	train
DB00373	D608622	original	DB00373D608622	train
DB00374	D161900	original	DB00374D161900	train
DB00374	D178600	expanded	DB00374D178600	train
DB00376	D168100	original	DB00376D168100	train
DB00379	D115000	original	DB00379D115000	train
DB00380	D208750	original	DB00380D208750	train
DB00380	D212112	original	DB00380D212112	train
DB00380	D212130	original	DB00380D212130	train
DB00380	D212350	original	DB00380D212350	train
DB00380	D225740	original	DB00380D225740	train
DB00380	D226000	original	DB00380D226000	train
DB00380	D305300	original	DB00380D305300	train
DB00381	D125310	original	DB00381D125310	train
DB00381	D145500	original	DB00381D145500	train
DB00381	D161900	original	DB00381D161900	test
DB00381	D179600	original	DB00381D179600	test
DB00381	D608320	original	DB00381D608320	train
DB00381	D608622	original	DB00381D608622	train
DB00382	D104300	original	DB00382D104300	train
DB00382	D125320	original	DB00382D125320	train
DB00382	D605055	original	DB00382D605055	train
DB00384	D203700	original	DB00384D203700	train
DB00384	D208300	original	DB00384D208300	valid
DB00384	D210050	original	DB00384D210050	train
DB00384	D215140	original	DB00384D215140	train
DB00384	D600351	original	DB00384D600351	train
DB00385	D109800	original	DB00385D109800	train
DB00387	D125320	original	DB00387D125320	train
DB00387	D168100	original	DB00387D168100	test
DB00387	D168600	original	DB00387D168600	train
DB00388	D137750	original	DB00388D137750	train
DB00388	D137760	original	DB00388D137760	train
DB00388	D145590	original	DB00388D145590	train
DB00388	D146500	original	DB00388D146500	train
DB00388	D147540	expanded	DB00388D147540	train
DB00388	D601682	original	DB00388D601682	valid
DB00388	D608088	original	DB00388D608088	train
DB00390	D607554	original	DB00390D607554	train
DB00390	D608583	original	DB00390D608583	train
DB00393	D125310	original	DB00393D125310	train
DB00393	D601367	original	DB00393D601367	train
DB00394	D208550	original	DB00394D208550	train
DB00394	D600807	original	DB00394D600807	test
DB00396	D217200	original	DB00396D217200	train
DB00397	D147540	expanded	DB00397D147540	train
DB00397	D264120	original	DB00397D264120	test
DB00397	D303110	original	DB00397D303110	test
DB00397	D601665	original	DB00397D601665	train
DB00397	D608088	original	DB00397D608088	train
DB00398	D114550	original	DB00398D114550	train
DB00398	D144700	original	DB00398D144700	train
DB00398	D188470	original	DB00398D188470	train
DB00398	D605839	original	DB00398D605839	train
DB00399	D102500	original	DB00399D102500	train
DB00399	D143880	original	DB00399D143880	train
DB00399	D167320	original	DB00399D167320	train
DB00399	D254500	original	DB00399D254500	train
DB00399	D276300	original	DB00399D276300	train
DB00399	D602080	original	DB00399D602080	train
DB00399	D605839	original	DB00399D605839	train
DB00401	D161900	original	DB00401D161900	train
DB00401	D179600	original	DB00401D179600	train
DB00401	D608622	original	DB00401D608622	train
DB00404	D167870	expanded	DB00404D167870	train
DB00404	D252320	original	DB00404D252320	valid
DB00407	D188050	original	DB00407D188050	train
DB00408	D181500	original	DB00408D181500	train
DB00412	D125850	original	DB00412D125850	train
DB00412	D125851	original	DB00412D125851	test
DB00412	D125853	original	DB00412D125853	valid
DB00412	D600496	original	DB00412D600496	valid
DB00413	D102300	original	DB00413D102300	train
DB00413	D125320	original	DB00413D125320	train
DB00413	D168100	original	DB00413D168100	test
DB00413	D168600	original	DB00413D168600	train
DB00414	D125850	original	DB00414D125850	train
DB00414	D125851	original	DB00414D125851	valid
DB00414	D125853	original	DB00414D125853	train
DB00414	D600496	original	DB00414D600496	train
DB00419	D230800	original	DB00419D230800	train
DB00421	D104130	original	DB00421D104130	train
DB00421	D161900	original	DB00421D161900	train
DB00421	D208300	original	DB00421D208300	valid
DB00421	D215140	original	DB00421D215140	train
DB00421	D600351	original	DB00421D600351	train
DB00421	D604416	original	DB00421D604416	train
DB00421	D608622	original	DB00421D608622	train
DB00422	D143465	original	DB00422D143465	train
DB00424	D144110	expanded	DB00424D144110	train
DB00424	D190310	original	DB00424D190310	train
DB00424	D200170	original	DB00424D200170	train
DB00424	D226150	original	DB00424D226150	train
DB00424	D260570	original	DB00424D260570	train
DB00428	D236000	original	DB00428D236000	train
DB00433	D145590	original	DB00433D145590	train
DB00433	D182830	original	DB00433D182830	train
DB00433	D225740	original	DB00433D225740	train
DB00433	D225755	original	DB00433D225755	test
DB00433	D260970	original	DB00433D260970	train
DB00433	D608033	original	DB00433D608033	valid
DB00434	D113610	original	DB00434D113610	train
DB00434	D147540	expanded	DB00434D147540	test
DB00434	D157300	original	DB00434D157300	valid
DB00434	D181500	expanded	DB00434D181500	train
DB00434	D218200	original	DB00434D218200	train
DB00434	D300125	original	DB00434D300125	test
DB00434	D312910	original	DB00434D312910	train
DB00434	D606703	original	DB00434D606703	train
DB00434	D606798	original	DB00434D606798	train
DB00436	D161900	original	DB00436D161900	train
DB00436	D215140	original	DB00436D215140	train
DB00436	D256370	original	DB00436D256370	train
DB00436	D600351	original	DB00436D600351	test
DB00436	D608622	original	DB00436D608622	train
DB00437	D310468	original	DB00437D310468	train
DB00437	D602068	original	DB00437D602068	train
DB00440	D166760	original	DB00440D166760	train
DB00440	D208550	original	DB00440D208550	train
DB00440	D604416	original	DB00440D604416	train
DB00441	D114480	original	DB00441D114480	train
DB00441	D144700	original	DB00441D144700	train
DB00441	D605839	original	DB00441D605839	valid
DB00443	D125600	original	DB00443D125600	train
DB00443	D133600	expanded	DB00443D133600	train
DB00443	D151590	original	DB00443D151590	train
DB00443	D603165	original	DB00443D603165	train
DB00444	D109543	original	DB00444D109543	train
DB00444	D182280	original	DB00444D182280	train
DB00444	D223350	original	DB00444D223350	train
DB00444	D236000	original	DB00444D236000	train
DB00444	D247640	original	DB00444D247640	train
DB00444	D267730	original	DB00444D267730	test
DB00445	D114480	original	DB00445D114480	train
DB00445	D276300	original	DB00445D276300	train
DB00448	D109350	original	DB00448D109350	train
DB00448	D190310	original	DB00448D190310	train
DB00448	D600263	original	DB00448D600263	valid
DB00449	D137750	original	DB00449D137750	train
DB00449	D137760	original	DB00449D137760	train
DB00449	D161900	original	DB00449D161900	valid
DB00449	D601682	original	DB00449D601682	train
DB00451	D138800	original	DB00451D138800	train
DB00451	D140300	original	DB00451D140300	train
DB00451	D255900	original	DB00451D255900	valid
DB00451	D275000	original	DB00451D275000	test
DB00454	D147530	original	DB00454D147530	train
DB00457	D147530	original	DB00457D147530	train
DB00457	D157950	original	DB00457D157950	train
DB00457	D161900	original	DB00457D161900	train
DB00457	D179600	original	DB00457D179600	train
DB00457	D200170	original	DB00457D200170	test
DB00457	D600082	original	DB00457D600082	train
DB00457	D608622	original	DB00457D608622	test
DB00458	D143465	original	DB00458D143465	train
DB00458	D147530	expanded	DB00458D147530	test
DB00458	D167870	original	DB00458D167870	train
DB00458	D600631	original	DB00458D600631	train
DB00458	D600808	original	DB00458D600808	valid
DB00461	D140600	original	DB00461D140600	train
DB00461	D147530	original	DB00461D147530	train
DB00464	D192200	original	DB00464D192200	train
DB00465	D147530	original	DB00465D147530	train
DB00465	D308205	original	DB00465D308205	train
DB00468	D200170	original	DB00468D200170	train
DB00470	D109100	original	DB00470D109100	train
DB00471	D208550	original	DB00471D208550	train
DB00471	D210050	original	DB00471D210050	test
DB00471	D600807	original	DB00471D600807	train
DB00472	D131300	expanded	DB00472D131300	train
DB00472	D164230	expanded	DB00472D164230	train
DB00472	D167870	original	DB00472D167870	train
DB00472	D181500	original	DB00472D181500	train
DB00472	D252320	expanded	DB00472D252320	train
DB00472	D607499	original	DB00472D607499	train
DB00475	D103780	original	DB00475D103780	train
DB00475	D226150	original	DB00475D226150	train
DB00476	D147530	original	DB00476D147530	train
DB00476	D165199	original	DB00476D165199	train
DB00477	D145590	original	DB00477D145590	train
DB00477	D181500	expanded	DB00477D181500	train
DB00480	D254500	original	DB00480D254500	train
DB00481	D102500	original	DB00481D102500	train
DB00481	D114480	original	DB00481D114480	train
DB00481	D166710	original	DB00481D166710	train
DB00482	D135550	original	DB00482D135550	train
DB00482	D140600	original	DB00482D140600	train
DB00482	D147530	original	DB00482D147530	train
DB00482	D165720	original	DB00482D165720	train
DB00482	D175100	original	DB00482D175100	train
DB00482	D175505	original	DB00482D175505	train
DB00482	D208230	original	DB00482D208230	train
DB00482	D246470	original	DB00482D246470	train
DB00482	D607459	original	DB00482D607459	train
DB00482	D607850	original	DB00482D607850	train
DB00484	D137750	original	DB00484D137750	train
DB00484	D137760	original	DB00484D137760	train
DB00484	D161900	original	DB00484D161900	train
DB00484	D601682	original	DB00484D601682	test
DB00489	D607554	original	DB00489D607554	train
DB00489	D608583	original	DB00489D608583	train
DB00490	D104130	original	DB00490D104130	train
DB00490	D156190	original	DB00490D156190	train
DB00490	D165150	original	DB00490D165150	train
DB00490	D167870	expanded	DB00490D167870	train
DB00490	D259050	original	DB00490D259050	train
DB00490	D300232	expanded	DB00490D300232	train
DB00491	D125850	original	DB00491D125850	train
DB00491	D125851	original	DB00491D125851	train
DB00491	D125853	original	DB00491D125853	train
DB00491	D600496	original	DB00491D600496	valid
DB00492	D146255	original	DB00492D146255	train
DB00492	D161900	original	DB00492D161900	valid
DB00492	D608622	original	DB00492D608622	valid
DB00494	D168100	original	DB00494D168100	train
DB00494	D168600	original	DB00494D168600	train
DB00497	D147530	original	DB00497D147530	train
DB00499	D176807	original	DB00499D176807	train
DB00500	D140600	original	DB00500D140600	train
DB00500	D165720	original	DB00500D165720	test
DB00500	D208230	original	DB00500D208230	train
DB00500	D607459	original	DB00500D607459	train
DB00500	D607850	original	DB00500D607850	valid
DB00501	D109350	original	DB00501D109350	train
DB00501	D190310	original	DB00501D190310	train
DB00501	D264120	original	DB00501D264120	train
DB00501	D304790	original	DB00501D304790	train
DB00502	D127750	original	DB00502D127750	train
DB00502	D137580	original	DB00502D137580	train
DB00502	D181500	expanded	DB00502D181500	test
DB00502	D182830	original	DB00502D182830	train
DB00508	D145590	original	DB00508D145590	train
DB00508	D147530	original	DB00508D147530	train
DB00510	D157300	original	DB00510D157300	train
DB00510	D300125	original	DB00510D300125	train
DB00514	D145590	original	DB00514D145590	train
DB00514	D608088	original	DB00514D608088	train
DB00515	D109800	original	DB00515D109800	train
DB00515	D133239	original	DB00515D133239	train
DB00515	D182280	original	DB00515D182280	valid
DB00515	D236000	original	DB00515D236000	train
DB00515	D254500	original	DB00515D254500	train
DB00515	D256700	original	DB00515D256700	train
DB00515	D259500	original	DB00515D259500	train
DB00515	D273300	original	DB00515D273300	valid
DB00515	D276300	original	DB00515D276300	train
DB00519	D146255	original	DB00519D146255	train
DB00519	D161900	original	DB00519D161900	test
DB00519	D608622	original	DB00519D608622	test
DB00521	D137750	original	DB00521D137750	train
DB00521	D161900	original	DB00521D161900	test
DB00521	D608622	original	DB00521D608622	train
DB00523	D148000	original	DB00523D148000	train
DB00524	D161900	original	DB00524D161900	train
DB00524	D215140	original	DB00524D215140	test
DB00524	D608622	original	DB00524D608622	train
DB00527	D147530	original	DB00527D147530	train
DB00530	D144700	original	DB00530D144700	train
DB00532	D104130	original	DB00532D104130	train
DB00533	D157300	original	DB00533D157300	train
DB00535	D166760	original	DB00535D166760	train
DB00535	D208550	original	DB00535D208550	valid
DB00536	D113610	original	DB00536D113610	train
DB00536	D218200	original	DB00536D218200	train
DB00536	D312910	original	DB00536D312910	train
DB00537	D145590	original	DB00537D145590	train
DB00537	D166760	original	DB00537D166760	train
DB00537	D208550	original	DB00537D208550	train
DB00537	D258360	expanded	DB00537D258360	test
DB00537	D266600	original	DB00537D266600	train
DB00540	D143465	original	DB00540D143465	train
